Segment,ID,Sale,Annual_mile,Discount_rate,BEV_cost_adjust_2020,refuel_time_avail,time_penalty,Annual_mile_avg,Lifetime,Maintainence_DV,Maintainence_BEV,Maintainence_FCHEV,Idling_hour,Other_incentive_2020,Other_incentive_yearly_change
Day_cab,1,10.0,66116.13317528149,0.050702686057976336,1.243077118700778,584.8797596865129,13.892084740941634,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,2,10.0,55677.99707482334,0.04836438623437314,1.1637628489722642,551.4396838141762,61.84837838517762,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,3,10.0,99574.51987837814,0.16208114480943903,0.9019392114781378,412.1730050840724,40.97103245611989,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,4,10.0,42486.34708125786,0.09034437603717238,0.9037238015515849,690.0487946206752,37.67562522119743,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,5,10.0,81554.0424529065,0.04144254483607015,0.9993805091514241,634.4652364273015,81.98851023389875,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,6,10.0,37479.32954285361,0.04572405766630718,0.9984399458650738,567.872720220199,35.32309421411365,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,7,10.0,59350.799120563985,0.12498861097590713,0.9663663740863447,634.6181226974204,34.99204061921344,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,8,10.0,20204.693367002208,0.12548235104486227,0.8615305484172744,925.8570528257044,48.886042406936035,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,9,10.0,36374.771121415084,0.10676272461452044,1.0568132717730887,673.6351088878774,44.51564999933795,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,10,10.0,23030.155007788086,0.13056887837844178,0.9754146375742597,1363.8020782882238,104.71214111702638,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,11,10.0,36613.14617677825,0.10147541444837825,0.979788182237953,688.2323364303396,28.45288225709342,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,12,10.0,81945.11494468362,0.10764671502225202,0.993015874673721,765.0929290681224,29.929052087201814,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,13,10.0,29330.882717810626,0.059439641421229025,0.9307173657994178,616.7930994040177,43.872048445835745,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,14,10.0,35463.382833977215,0.08042251822040125,1.0366052503856442,1218.7736521235447,15.367298837361377,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,15,10.0,74143.88901682608,0.03556625131736205,1.2520807634154991,166.5873123893524,64.61219109479514,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,16,10.0,141422.35625032938,0.028760664317736207,0.9983071615374077,1331.3671138852353,90.06510547749345,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,17,10.0,73115.7904471573,0.04924516800448981,0.8578075450901553,362.2248060331298,19.400940657653624,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,18,10.0,31288.780819497093,0.048308302659010725,1.1148355983872944,338.2881487292876,115.53863298044658,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,19,10.0,77704.73125585601,0.15374418520821295,1.146520488443314,863.7762542900714,86.44437987775733,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,20,10.0,43056.789472625984,0.042973256010284906,0.9888751427846056,595.0420957113666,88.25361929519637,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
Day_cab,21,10.0,67096.12633701209,0.07464672666177598,1.052184949031633,721.8238641916934,122.46690350507568,57328.84945,10,11354.77447,6812.864683,6812.864683,0,0,0.0
